"","generation","treatment","day","broodsize","broodnum","cumulative","survival","replicate","offspring"
"1","0","HFC",0,0,NA,0,100,"1",NA
"2","0","HFC",0,0,NA,0,100,"2",NA
"3","0","HFC",0,0,NA,0,100,"3",NA
"4","0","HFC",0,0,NA,0,100,"4",NA
"5","0","HFC",0,0,NA,0,100,"5",NA
"6","0","HFC",0,0,NA,0,100,"6",NA
"7","0","HFC",0,0,NA,0,100,"7",NA
"8","0","HFC",0,0,NA,0,100,"8",NA
"9","0","HFC",0,0,NA,0,100,"9",NA
"10","0","HFC",0,0,NA,0,100,"10",NA
"11","0","HFC",0,0,NA,0,100,"11",NA
"12","0","HFC",0,0,NA,0,100,"12",NA
"13","0","HFC",0,0,NA,0,100,"13",NA
"14","0","HFC",0,0,NA,0,100,"14",NA
"15","0","HFC",0,0,NA,0,100,"15",NA
"16","0","HFC",0,0,NA,0,100,"16",NA
"17","0","HFC",0,0,NA,0,100,"17",NA
"18","0","HFC",0,0,NA,0,100,"18",NA
"19","0","HFC",0,0,NA,0,100,"19",NA
"20","0","HFC",0,0,NA,0,100,"20",NA
"21","0","HFC",1,0,NA,0,100,"1",NA
"22","0","HFC",1,0,NA,0,100,"2",NA
"23","0","HFC",1,0,NA,0,100,"3",NA
"24","0","HFC",1,0,NA,0,100,"4",NA
"25","0","HFC",1,0,NA,0,100,"5",NA
"26","0","HFC",1,0,NA,0,100,"6",NA
"27","0","HFC",1,0,NA,0,100,"7",NA
"28","0","HFC",1,0,NA,0,100,"8",NA
"29","0","HFC",1,0,NA,0,100,"9",NA
"30","0","HFC",1,0,NA,0,100,"10",NA
"31","0","HFC",1,0,NA,0,100,"11",NA
"32","0","HFC",1,0,NA,0,100,"12",NA
"33","0","HFC",1,0,NA,0,100,"13",NA
"34","0","HFC",1,0,NA,0,100,"14",NA
"35","0","HFC",1,0,NA,0,100,"15",NA
"36","0","HFC",1,0,NA,0,100,"16",NA
"37","0","HFC",1,0,NA,0,100,"17",NA
"38","0","HFC",1,0,NA,0,100,"18",NA
"39","0","HFC",1,0,NA,0,100,"19",NA
"40","0","HFC",1,0,NA,0,100,"20",NA
"41","0","HFC",2,0,NA,0,100,"1",NA
"42","0","HFC",2,0,NA,0,100,"2",NA
"43","0","HFC",2,0,NA,0,100,"3",NA
"44","0","HFC",2,0,NA,0,100,"4",NA
"45","0","HFC",2,0,NA,0,100,"5",NA
"46","0","HFC",2,0,NA,0,100,"6",NA
"47","0","HFC",2,0,NA,0,100,"7",NA
"48","0","HFC",2,0,NA,0,100,"8",NA
"49","0","HFC",2,0,NA,0,100,"9",NA
"50","0","HFC",2,0,NA,0,100,"10",NA
"51","0","HFC",2,0,NA,0,100,"11",NA
"52","0","HFC",2,0,NA,0,100,"12",NA
"53","0","HFC",2,0,NA,0,100,"13",NA
"54","0","HFC",2,0,NA,0,100,"14",NA
"55","0","HFC",2,0,NA,0,100,"15",NA
"56","0","HFC",2,0,NA,0,100,"16",NA
"57","0","HFC",2,0,NA,0,100,"17",NA
"58","0","HFC",2,0,NA,0,100,"18",NA
"59","0","HFC",2,0,NA,0,100,"19",NA
"60","0","HFC",2,0,NA,0,100,"20",NA
"61","0","HFC",3,0,NA,0,100,"1",NA
"62","0","HFC",3,0,NA,0,100,"2",NA
"63","0","HFC",3,0,NA,0,100,"3",NA
"64","0","HFC",3,0,NA,0,100,"4",NA
"65","0","HFC",3,0,NA,0,100,"5",NA
"66","0","HFC",3,0,NA,0,100,"6",NA
"67","0","HFC",3,0,NA,0,100,"7",NA
"68","0","HFC",3,0,NA,0,100,"8",NA
"69","0","HFC",3,0,NA,0,100,"9",NA
"70","0","HFC",3,0,NA,0,100,"10",NA
"71","0","HFC",3,0,NA,0,100,"11",NA
"72","0","HFC",3,0,NA,0,100,"12",NA
"73","0","HFC",3,0,NA,0,100,"13",NA
"74","0","HFC",3,0,NA,0,100,"14",NA
"75","0","HFC",3,0,NA,0,100,"15",NA
"76","0","HFC",3,0,NA,0,100,"16",NA
"77","0","HFC",3,0,NA,0,100,"17",NA
"78","0","HFC",3,0,NA,0,100,"18",NA
"79","0","HFC",3,0,NA,0,100,"19",NA
"80","0","HFC",3,0,NA,0,100,"20",NA
"81","0","HFC",4,0,NA,0,100,"1",NA
"82","0","HFC",4,0,NA,0,100,"2",NA
"83","0","HFC",4,0,NA,0,100,"3",NA
"84","0","HFC",4,0,NA,0,100,"4",NA
"85","0","HFC",4,0,NA,0,100,"5",NA
"86","0","HFC",4,0,NA,0,100,"6",NA
"87","0","HFC",4,0,NA,0,100,"7",NA
"88","0","HFC",4,0,NA,0,100,"8",NA
"89","0","HFC",4,0,NA,0,100,"9",NA
"90","0","HFC",4,0,NA,0,100,"10",NA
"91","0","HFC",4,0,NA,0,100,"11",NA
"92","0","HFC",4,0,NA,0,100,"12",NA
"93","0","HFC",4,0,NA,0,100,"13",NA
"94","0","HFC",4,0,NA,0,100,"14",NA
"95","0","HFC",4,0,NA,0,100,"15",NA
"96","0","HFC",4,0,NA,0,100,"16",NA
"97","0","HFC",4,0,NA,0,100,"17",NA
"98","0","HFC",4,0,NA,0,100,"18",NA
"99","0","HFC",4,0,NA,0,100,"19",NA
"100","0","HFC",4,0,NA,0,100,"20",NA
"101","0","HFC",5,0,NA,0,100,"1",NA
"102","0","HFC",5,0,NA,0,100,"2",NA
"103","0","HFC",5,0,NA,0,100,"3",NA
"104","0","HFC",5,0,NA,0,100,"4",NA
"105","0","HFC",5,0,NA,0,100,"5",NA
"106","0","HFC",5,0,NA,0,100,"6",NA
"107","0","HFC",5,0,NA,0,100,"7",NA
"108","0","HFC",5,0,NA,0,100,"8",NA
"109","0","HFC",5,0,NA,0,100,"9",NA
"110","0","HFC",5,0,NA,0,100,"10",NA
"111","0","HFC",5,0,NA,0,100,"11",NA
"112","0","HFC",5,0,NA,0,100,"12",NA
"113","0","HFC",5,0,NA,0,100,"13",NA
"114","0","HFC",5,0,NA,0,100,"14",NA
"115","0","HFC",5,0,NA,0,100,"15",NA
"116","0","HFC",5,0,NA,0,100,"16",NA
"117","0","HFC",5,0,NA,0,100,"17",NA
"118","0","HFC",5,0,NA,0,100,"18",NA
"119","0","HFC",5,0,NA,0,100,"19",NA
"120","0","HFC",5,0,NA,0,100,"20",NA
"121","0","HFC",6,0,NA,0,100,"1",NA
"122","0","HFC",6,0,NA,0,100,"2",NA
"123","0","HFC",6,0,NA,0,100,"3",NA
"124","0","HFC",6,0,NA,0,100,"4",NA
"125","0","HFC",6,0,NA,0,100,"5",NA
"126","0","HFC",6,0,NA,0,100,"6",NA
"127","0","HFC",6,0,NA,0,100,"7",NA
"128","0","HFC",6,0,NA,0,100,"8",NA
"129","0","HFC",6,0,NA,0,100,"9",NA
"130","0","HFC",6,0,NA,0,100,"10",NA
"131","0","HFC",6,0,NA,0,100,"11",NA
"132","0","HFC",6,0,NA,0,100,"12",NA
"133","0","HFC",6,0,NA,0,100,"13",NA
"134","0","HFC",6,0,NA,0,100,"14",NA
"135","0","HFC",6,0,NA,0,100,"15",NA
"136","0","HFC",6,0,NA,0,100,"16",NA
"137","0","HFC",6,0,NA,0,100,"17",NA
"138","0","HFC",6,0,NA,0,100,"18",NA
"139","0","HFC",6,0,NA,0,100,"19",NA
"140","0","HFC",6,0,NA,0,100,"20",NA
"141","0","HFC",7,0,NA,0,100,"1",NA
"142","0","HFC",7,0,NA,0,100,"2",NA
"143","0","HFC",7,0,NA,0,100,"3",NA
"144","0","HFC",7,0,NA,0,100,"4",NA
"145","0","HFC",7,0,NA,0,100,"5",NA
"146","0","HFC",7,0,NA,0,100,"6",NA
"147","0","HFC",7,0,NA,0,100,"7",NA
"148","0","HFC",7,0,NA,0,100,"8",NA
"149","0","HFC",7,0,NA,0,100,"9",NA
"150","0","HFC",7,0,NA,0,100,"10",NA
"151","0","HFC",7,0,NA,0,100,"11",NA
"152","0","HFC",7,0,NA,0,100,"12",NA
"153","0","HFC",7,0,NA,0,100,"13",NA
"154","0","HFC",7,0,NA,0,100,"14",NA
"155","0","HFC",7,0,NA,0,100,"15",NA
"156","0","HFC",7,0,NA,0,100,"16",NA
"157","0","HFC",7,0,NA,0,100,"17",NA
"158","0","HFC",7,0,NA,0,100,"18",NA
"159","0","HFC",7,0,NA,0,100,"19",NA
"160","0","HFC",7,0,NA,0,100,"20",NA
"161","0","HFC",8,0,NA,0,100,"1",NA
"162","0","HFC",8,0,NA,0,100,"2",NA
"163","0","HFC",8,0,NA,0,100,"3",NA
"164","0","HFC",8,0,NA,0,100,"4",NA
"165","0","HFC",8,0,NA,0,100,"5",NA
"166","0","HFC",8,0,NA,0,100,"6",NA
"167","0","HFC",8,0,NA,0,100,"7",NA
"168","0","HFC",8,0,NA,0,100,"8",NA
"169","0","HFC",8,0,NA,0,100,"9",NA
"170","0","HFC",8,0,NA,0,100,"10",NA
"171","0","HFC",8,0,NA,0,100,"11",NA
"172","0","HFC",8,0,NA,0,100,"12",NA
"173","0","HFC",8,0,NA,0,100,"13",NA
"174","0","HFC",8,0,NA,0,100,"14",NA
"175","0","HFC",8,0,NA,0,100,"15",NA
"176","0","HFC",8,0,NA,0,100,"16",NA
"177","0","HFC",8,0,NA,0,100,"17",NA
"178","0","HFC",8,0,NA,0,100,"18",NA
"179","0","HFC",8,0,NA,0,100,"19",NA
"180","0","HFC",8,0,NA,0,100,"20",NA
"181","0","HFC",9,0,NA,0,100,"1",NA
"182","0","HFC",9,0,NA,0,100,"2",NA
"183","0","HFC",9,0,NA,0,100,"3",NA
"184","0","HFC",9,0,NA,0,100,"4",NA
"185","0","HFC",9,0,NA,0,100,"5",NA
"186","0","HFC",9,0,NA,0,100,"6",NA
"187","0","HFC",9,0,NA,0,100,"7",NA
"188","0","HFC",9,0,NA,0,100,"8",NA
"189","0","HFC",9,0,NA,0,100,"9",NA
"190","0","HFC",9,0,NA,0,100,"10",NA
"191","0","HFC",9,0,NA,0,100,"11",NA
"192","0","HFC",9,0,NA,0,100,"12",NA
"193","0","HFC",9,0,NA,0,100,"13",NA
"194","0","HFC",9,0,NA,0,100,"14",NA
"195","0","HFC",9,0,NA,0,100,"15",NA
"196","0","HFC",9,0,NA,0,100,"16",NA
"197","0","HFC",9,0,NA,0,100,"17",NA
"198","0","HFC",9,0,NA,0,100,"18",NA
"199","0","HFC",9,0,NA,0,100,"19",NA
"200","0","HFC",9,0,NA,0,100,"20",NA
"201","0","HFC",10,25,1,25,100,"1",NA
"202","0","HFC",10,25,1,25,100,"2",NA
"203","0","HFC",10,25,1,25,100,"3",NA
"204","0","HFC",10,25,1,25,100,"4",NA
"205","0","HFC",10,25,1,25,100,"5","8"
"206","0","HFC",10,25,1,25,100,"6",NA
"207","0","HFC",10,25,1,25,100,"7","5"
"208","0","HFC",10,25,1,25,100,"8","3"
"209","0","HFC",10,25,1,25,100,"9",NA
"210","0","HFC",10,25,1,25,100,"10",NA
"211","0","HFC",10,25,1,25,100,"11",NA
"212","0","HFC",10,25,1,25,100,"12",NA
"213","0","HFC",10,25,1,25,100,"13",NA
"214","0","HFC",10,25,1,25,100,"14",NA
"215","0","HFC",10,25,1,25,100,"15",NA
"216","0","HFC",10,25,1,25,100,"16","1"
"217","0","HFC",10,25,1,25,100,"17",NA
"218","0","HFC",10,25,1,25,100,"18",NA
"219","0","HFC",10,25,1,25,100,"19","8"
"220","0","HFC",10,25,1,25,100,"20",NA
"221","0","HFC",11,69,1,94,100,"1","4"
"222","0","HFC",11,69,1,94,100,"2","6"
"223","0","HFC",11,69,1,94,100,"3",NA
"224","0","HFC",11,69,1,94,100,"4","4"
"225","0","HFC",11,69,1,94,100,"5",NA
"226","0","HFC",11,69,1,94,100,"6","9"
"227","0","HFC",11,69,1,94,100,"7",NA
"228","0","HFC",11,69,1,94,100,"8",NA
"229","0","HFC",11,69,1,94,100,"9",NA
"230","0","HFC",11,69,1,94,100,"10","4"
"231","0","HFC",11,69,1,94,100,"11","10"
"232","0","HFC",11,69,1,94,100,"12","7"
"233","0","HFC",11,69,1,94,100,"13","5"
"234","0","HFC",11,69,1,94,100,"14","4"
"235","0","HFC",11,69,1,94,100,"15","2"
"236","0","HFC",11,69,1,94,100,"16",NA
"237","0","HFC",11,69,1,94,100,"17","4"
"238","0","HFC",11,69,1,94,100,"18","4"
"239","0","HFC",11,69,1,94,100,"19",NA
"240","0","HFC",11,69,1,94,100,"20","6"
"241","0","HFC",12,0,NA,94,100,"1",NA
"242","0","HFC",12,0,NA,94,100,"2",NA
"243","0","HFC",12,0,NA,94,100,"3",NA
"244","0","HFC",12,0,NA,94,100,"4",NA
"245","0","HFC",12,0,NA,94,100,"5",NA
"246","0","HFC",12,0,NA,94,100,"6",NA
"247","0","HFC",12,0,NA,94,100,"7",NA
"248","0","HFC",12,0,NA,94,100,"8",NA
"249","0","HFC",12,0,NA,94,100,"9",NA
"250","0","HFC",12,0,NA,94,100,"10",NA
"251","0","HFC",12,0,NA,94,100,"11",NA
"252","0","HFC",12,0,NA,94,100,"12",NA
"253","0","HFC",12,0,NA,94,100,"13",NA
"254","0","HFC",12,0,NA,94,100,"14",NA
"255","0","HFC",12,0,NA,94,100,"15",NA
"256","0","HFC",12,0,NA,94,100,"16",NA
"257","0","HFC",12,0,NA,94,100,"17",NA
"258","0","HFC",12,0,NA,94,100,"18",NA
"259","0","HFC",12,0,NA,94,100,"19",NA
"260","0","HFC",12,0,NA,94,100,"20",NA
"261","0","HFC",13,8,1,102,100,"1",NA
"262","0","HFC",13,8,1,102,100,"2",NA
"263","0","HFC",13,8,1,102,100,"3","8"
"264","0","HFC",13,8,1,102,100,"4",NA
"265","0","HFC",13,8,1,102,100,"5",NA
"266","0","HFC",13,8,1,102,100,"6",NA
"267","0","HFC",13,8,1,102,100,"7",NA
"268","0","HFC",13,8,1,102,100,"8",NA
"269","0","HFC",13,8,1,102,100,"9",NA
"270","0","HFC",13,8,1,102,100,"10",NA
"271","0","HFC",13,8,1,102,100,"11",NA
"272","0","HFC",13,8,1,102,100,"12",NA
"273","0","HFC",13,8,1,102,100,"13",NA
"274","0","HFC",13,8,1,102,100,"14",NA
"275","0","HFC",13,8,1,102,100,"15",NA
"276","0","HFC",13,8,1,102,100,"16",NA
"277","0","HFC",13,8,1,102,100,"17",NA
"278","0","HFC",13,8,1,102,100,"18",NA
"279","0","HFC",13,8,1,102,100,"19",NA
"280","0","HFC",13,8,1,102,100,"20",NA
"281","0","HFC",13,48,2,150,100,"1",NA
"282","0","HFC",13,48,2,150,100,"2",NA
"283","0","HFC",13,48,2,150,100,"3",NA
"284","0","HFC",13,48,2,150,100,"4",NA
"285","0","HFC",13,48,2,150,100,"5","13"
"286","0","HFC",13,48,2,150,100,"6",NA
"287","0","HFC",13,48,2,150,100,"7","10"
"288","0","HFC",13,48,2,150,100,"8",NA
"289","0","HFC",13,48,2,150,100,"9",NA
"290","0","HFC",13,48,2,150,100,"10",NA
